Category: All categories,
2022-09-04,72
2022-09-11,69
2022-09-18,73
2022-09-25,85
2022-10-02,75
2022-10-09,85
2022-10-16,90
2022-10-23,80
2022-10-30,79
2022-11-06,80
2022-11-13,65
2022-11-20,67
2022-11-27,71
2022-12-04,66
2022-12-11,66
