Category: All categories,
28/3/2021,16
4/4/2021,0
11/4/2021,25
18/4/2021,0
25/4/2021,11
2/5/2021,11
9/5/2021,0
16/5/2021,27
23/5/2021,0
30/5/2021,13
6/6/2021,0
13/6/2021,12
20/6/2021,0
27/6/2021,12
4/7/2021,21
11/7/2021,20
18/7/2021,0
25/7/2021,17
1/8/2021,0
8/8/2021,0
15/8/2021,0
22/8/2021,0
29/8/2021,0
5/9/2021,31
12/9/2021,0
19/9/2021,0
26/9/2021,0
3/10/2021,17
10/10/2021,0
17/10/2021,67
24/10/2021,0
31/10/2021,0
7/11/2021,33
14/11/2021,15
21/11/2021,19
28/11/2021,29
5/12/2021,0
12/12/2021,0
19/12/2021,0
26/12/2021,0
2/1/2022,17
9/1/2022,0
16/1/2022,0
23/1/2022,0
30/1/2022,0
6/2/2022,25
13/2/2022,0
20/2/2022,17
27/2/2022,0
6/3/2022,0
13/3/2022,27
20/3/2022,42
27/3/2022,25
3/4/2022,31
10/4/2022,0
17/4/2022,35
24/4/2022,57
1/5/2022,37
8/5/2022,27
15/5/2022,45
22/5/2022,0
29/5/2022,36
5/6/2022,36
12/6/2022,36
19/6/2022,100
26/6/2022,47
3/7/2022,15
10/7/2022,33
17/7/2022,19
24/7/2022,28
31/7/2022,15
7/8/2022,34
14/8/2022,10
21/8/2022,0
28/8/2022,26
4/9/2022,38
11/9/2022,26
18/9/2022,0
25/9/2022,0
2/10/2022,29
9/10/2022,0
16/10/2022,11
23/10/2022,12
30/10/2022,22
6/11/2022,0
13/11/2022,22
20/11/2022,25
27/11/2022,0
4/12/2022,15
11/12/2022,0
